Producer,Name
Avi Arad,Iron Man
Kevin Feige,Iron Man
Avi Arad,The incredible Hulk
Gale Ann Hurd,The incredible Hulk
Kevin Feige,The incredible Hulk
Kevin Feige,Iron Man 2
Kevin Feige,Thor
Kevin Feige,Captain America: The First Avenger
Kevin Feige,Marvel's the Avengers
Kevin Feige,Iron Man 3
Kevin Feige,Thor: The dark world
Kevin Feige,Captain America: The Winter Soldier
Kevin Feige,Guardians Of the Galaxy
Kevin Feige,Avengers: Age of Ultron
Kevin Feige,Ant-Man
Kevin Feige,Captain America: Civil War
Kevin Feige,Doctor Strange
Kevin Feige,Guardians of the Galaxy Vol. 2
Kevin Feige,Spider-Man: Homecoming
Amy Pascal,Spider-Man: Homecoming
Kevin Feige,Thor: Ragnarok
Kevin Feige,Black Panther
Kevin Feige,Avengers: Infinity War
Kevin Feige,Ant-Man and the Wasp
Stephen Broussard,Ant-Man and the Wasp
Kevin Feige,Captain-Marvel
Kevin Feige,Avengers: Endgame
Kevin Feige,Spider-Man: Far From Home
Amy Pascal,Spider-Man: Far From Home
